lambda,offset,r,oos
0.0,22,0.04,0.024445908160699498
0.0,22,0.05,0.024225898012869847
0.0,22,0.060000000000000005,0.02401799482034276
0.0,22,0.06999999999999999,0.0239721906811751
0.0,22,0.08,0.023837655622870997
0.0,22,0.09,0.023696329204991325
0.0,22,0.09999999999999999,0.02354561169064739
0.0,22,0.11,0.023402109992342324
0.0,22,0.12,0.02328823023156324
0.0,22,0.13,0.02312949090942451
0.0,22,0.14,0.022967534951968523
0.0,23,0.01,0.007519182462055981
0.0,23,0.02,0.007628143055585926
0.0,23,0.03,0.0076938098278793825
0.0,23,0.04,0.007809163674152995
0.0,23,0.05,0.007949004690703167
0.0,23,0.060000000000000005,0.00802524861189537
0.0,23,0.06999999999999999,0.008132708484596298
0.0,23,0.08,0.008296206214736443
0.0,23,0.09,0.008408377646294807
0.0,23,0.09999999999999999,0.008422549124117572
0.0,23,0.11,0.00852742808287233
0.0,23,0.12,0.008629504906827441
0.0,23,0.13,0.00872092413657577
0.0,23,0.14,0.008809695817917481
0.0,24,0.01,-0.0046303943608789755
0.0,24,0.02,-0.004642759101647919
0.0,24,0.03,-0.004643738926524962
0.0,24,0.04,-0.0047142335188803
0.0,24,0.05,-0.0047367372133676955
0.0,24,0.060000000000000005,-0.004781536414918016
0.0,24,0.06999999999999999,-0.004757395233157619
0.0,24,0.08,-0.004726219461067065
0.0,24,0.09,-0.004757947420405612
0.0,24,0.09999999999999999,-0.004743037495210465
0.0,24,0.11,-0.004719778233523065
0.0,24,0.12,-0.004771818239890129
0.0,24,0.13,-0.004777805446489431
0.0,24,0.14,-0.004774951476847779
0.0,25,0.01,-0.0046303943608789755
0.0,25,0.02,-0.004686902351523674
0.0,25,0.03,-0.00469045052814826
0.0,25,0.04,-0.0047012003119979925
0.0,25,0.05,-0.0047367372133676955
0.0,25,0.060000000000000005,-0.004781536414918016
0.0,25,0.06999999999999999,-0.004757395233157619
0.0,25,0.08,-0.004726219461067065
0.0,25,0.09,-0.004752552461249771
0.0,25,0.09999999999999999,-0.004726641987943472
0.0,25,0.11,-0.004771712421267115
0.0,25,0.12,-0.004790615233698364
0.0,25,0.13,-0.004782926612373612
0.0,25,0.14,-0.004774951476847779
0.0,26,0.01,-0.004644342000448522
0.0,26,0.02,-0.004686902351523674
